opt_clipfrac,recent_best_ext_ret,vpredstd,opt_aux,opt_ent,ups,opt_vf,ev,rew_mean,opt_tot,retmean,rank,opt_dyn_loss,advmean,opt_approxkl,opt_pg,vpredmean,advstd,opt_feat_var,tps,total_secs,n_updates,retstd,epcount,eplen,eprew,tcount,best_ext_ret,eprew_recent
0.0,10.0,0.51360345,0.332031,1.0996562,0.006506624741516345,0.009577272,0.9403665959835052,10.69373,-0.008407598,2.7609792,0,10.74676,-0.04573038,1.9326019e-13,-0.016885215,2.8067098,0.1277943,44.664417,749.563170222683,9986.450305223465,64,0.52331924,8064.0,900.0,0.85,7257600.0,14.0,0.859375
0.0,3.0,0.47837746,0.2603556,1.1320381,0.00652714098976175,0.0075773727,0.9242380410432816,11.48053,0.007879002,2.8357887,0,11.58776,-0.032596964,1.9790497e-13,0.001433667,2.8683853,0.13331519,42.441124,751.9266420205536,10139.65673995018,65,0.48434412,8192.0,900.0,0.65,7372800.0,14.0,0.640625
0.0,3.0,0.4990533,0.33536103,1.1391215,0.006544952491746768,0.010078166,0.9335164502263069,11.433798,0.05881838,2.7631717,0,10.8688755,-0.02295519,1.9336929e-13,0.04987934,2.7861264,0.1309069,47.229145,753.9785270492276,10292.44623708725,66,0.50769794,8320.0,900.0,0.52,7488000.0,14.0,0.515625
0.0,3.0,0.51839733,0.3191942,1.114762,0.006581329237877874,0.010581148,0.9370632544159889,11.438777,-0.051653627,2.7139316,0,12.061864,-0.021849727,1.9749991e-13,-0.06112001,2.735781,0.13304918,48.28031,758.169128203531,10444.391226291656,67,0.53034693,8448.0,900.0,0.63,7603200.0,14.0,0.59375
0.0,3.0,0.5103363,0.28305802,1.1743222,0.006550490584470967,0.010679898,0.9368655532598495,11.9441805,0.01812939,2.7213976,0,12.752027,-0.0011427781,2.0170309e-13,0.008623814,2.7225401,0.13116717,50.181633,754.6165153310554,10597.05154800415,68,0.52202576,8576.0,900.0,0.75,7718400.0,14.0,0.75
0.0,3.0,0.5102317,0.3477651,1.1347319,0.006559248332720514,0.009314168,0.9331768751144409,12.210554,-0.016013492,2.7506552,0,11.46033,-0.0024656032,1.881321e-13,-0.024192927,2.7531211,0.13327608,50.507427,755.6254079294032,10749.508041381836,69,0.5155714,8704.0,900.0,0.59,7833600.0,14.0,0.59375
0.0,3.0,0.49559355,0.29606134,1.1800634,0.0065968213011818825,0.009682028,0.9403128512203693,12.430341,-0.07107614,2.7926517,0,13.078805,-0.0026136513,2.056723e-13,-0.07957811,2.7952652,0.12566002,52.73504,759.9538138961528,10901.096200942993,70,0.51434755,8832.0,900.0,0.86,7948800.0,14.0,0.828125
0.0,3.0,0.50810724,0.29602376,1.1344546,0.006564857489425997,0.009067857,0.9375567510724068,12.87475,-0.028158918,2.8471987,0,13.027569,-0.0015192487,2.1488814e-13,-0.03609232,2.8487186,0.12913908,51.72425,756.2715827818748,11053.42243218422,71,0.516791,8960.0,900.0,0.63,8064000.0,14.0,0.6796875
0.0,3.0,0.53839093,0.26076576,1.1235183,0.006601114159609453,0.009673064,0.9338443428277969,13.053729,-0.04131417,2.886311,0,13.724427,-0.0095545845,2.0712308e-13,-0.049863715,2.8958657,0.1399041,52.171627,760.4483511870089,11204.91201043129,72,0.54393494,9088.0,900.0,0.72,8179200.0,14.0,0.7265625
0.0,3.0,0.5132114,0.26074836,1.1501818,0.006470837383227516,0.010023882,0.9382836297154427,12.806753,-0.07425725,2.7974782,0,14.200631,-0.0062528076,2.2167865e-13,-0.08313095,2.8037312,0.12900893,54.803528,745.4404665478098,11359.451514482498,73,0.51930153,9216.0,900.0,0.99,8294400.0,14.0,0.984375
0.0,3.0,0.50585556,0.29979682,1.1424061,0.0064853901723314795,0.0086743245,0.9383700527250767,12.238795,0.0038268818,2.6939952,0,12.142591,-0.015786912,2.1036252e-13,-0.0037050364,2.709782,0.12877963,51.90139,747.1169478525865,11513.644242048264,74,0.51874185,9344.0,900.0,0.77,8409600.0,14.0,0.8125
0.0,12.0,0.4993161,0.3276124,1.1253185,0.006593983274188642,0.008684952,0.9378460273146629,13.09192,-0.025996838,2.8004012,0,12.726334,-0.0021904055,2.1086765e-13,-0.033556473,2.8025913,0.12669529,49.229362,759.6268731865315,11665.297644615173,75,0.50818986,9472.0,900.0,1.15,8524800.0,14.0,1.046875
0.0,10.0,0.47927657,0.2664993,1.1232651,0.00655609276988564,0.007876921,0.9170966595411301,13.613241,0.14010927,2.8543339,0,13.039241,0.0029375777,2.1144872e-13,0.13335562,2.8513958,0.13292289,49.20802,755.2618870908257,11817.827517986298,76,0.46165097,9600.0,900.0,0.67,8640000.0,14.0,0.7265625
0.0,3.0,0.45638403,0.3547653,1.1453857,0.006485442679121369,0.011655451,0.9267371818423271,11.901514,-0.0039387224,2.7996523,0,11.592174,-0.060801744,2.1098352e-13,-0.014448787,2.860454,0.12702022,46.148014,747.1229966347817,11972.018997192383,77,0.46927896,9728.0,900.0,0.81,8755200.0,14.0,0.75
0.0,3.0,0.47758034,0.27364308,1.1355246,0.006529282838893044,0.009259334,0.9324081912636757,12.070856,0.008672142,2.7832391,0,12.192492,-0.050572578,2.0561969e-13,0.00054833305,2.8338113,0.12497283,46.247616,752.1733830404787,12125.175174474716,78,0.48069382,9856.0,900.0,0.85,8870400.0,14.0,0.8203125
0.0,3.0,0.445959,0.2570571,1.1459305,0.006514501276418102,0.011081045,0.9107794165611267,13.383398,-0.027483817,2.7713108,0,13.827694,-0.0034121657,2.1656353e-13,-0.03741893,2.7747228,0.14812364,48.180824,750.4705470433654,12278.67886686325,79,0.4958974,9984.0,900.0,0.91,8985600.0,14.0,0.8984375
